x,U_0,U_1,U_2
1.01,0,-1.29656e-05,0
1.02,0,-1.29656e-05,0
1.03,0,-1.29656e-05,0
1.04,0,-1.29656e-05,0
1.05,0,-1.29656e-05,0
1.06,0,-2.94801e-05,0
1.07,0,-2.94801e-05,0
1.08,0,-2.94801e-05,0
1.09,0,-2.94801e-05,0
1.1,0,-2.94801e-05,0
1.11,0,-3.94838e-05,0
1.12,0,-3.94838e-05,0
1.13,0,-3.94838e-05,0
1.14,0,-3.94838e-05,0
1.15,0,-4.31045e-05,0
1.16,0,-4.31045e-05,0
1.17,0,-4.31045e-05,0
1.18,0,-4.31045e-05,0
1.19,0,-4.31045e-05,0
1.2,0,-4.17575e-05,0
1.21,0,-4.17575e-05,0
1.22,0,-4.17575e-05,0
1.23,0,-4.17575e-05,0
1.24,0,-4.17575e-05,0
1.25,0,-3.70796e-05,0
1.26,0,-3.70796e-05,0
1.27,0,-3.70796e-05,0
1.28,0,-3.70796e-05,0
1.29,0,-3.70796e-05,0
1.3,0,-3.06586e-05,0
1.31,0,-3.06586e-05,0
1.32,0,-3.06586e-05,0
1.33,0,-3.06586e-05,0
1.34,0,-3.06586e-05,0
1.35,0,-2.37923e-05,0
1.36,0,-2.37923e-05,0
1.37,0,-2.37923e-05,0
1.38,0,-2.37923e-05,0
1.39,0,-2.37923e-05,0
1.4,0,-1.73827e-05,0
1.41,0,-1.73827e-05,0
1.42,0,-1.73827e-05,0
1.43,0,-1.73827e-05,0
1.44,0,-1.73827e-05,0
1.45,0,-1.19396e-05,0
1.46,0,-1.19396e-05,0
1.47,0,-1.19396e-05,0
1.48,0,-1.19396e-05,0
1.49,0,-1.19396e-05,0
1.5,0,-7.65408e-06,0
1.51,0,-7.65408e-06,0
1.52,0,-7.65408e-06,0
1.53,0,-7.65408e-06,0
1.54,0,-7.65408e-06,0
1.55,0,-4.49849e-06,0
1.56,0,-4.49849e-06,0
1.57,0,-4.49849e-06,0
1.58,0,-4.49849e-06,0
1.59,0,-4.49849e-06,0
1.6,0,-2.32158e-06,0
1.61,0,-2.32158e-06,0
1.62,0,-2.32158e-06,0
1.63,0,-2.32158e-06,0
1.64,0,-2.32158e-06,0
1.65,0,-9.2249e-07,0
1.66,0,-9.2249e-07,0
1.67,0,-9.2249e-07,0
1.68,0,-9.2249e-07,0
1.69,0,-9.2249e-07,0
1.7,0,-9.93258e-08,0
1.71,0,-9.93258e-08,0
1.72,0,-9.93258e-08,0
1.73,0,-9.93258e-08,0
1.74,0,-9.93258e-08,0
1.75,0,3.24442e-07,0
1.76,0,3.24442e-07,0
1.77,0,3.24442e-07,0
1.78,0,3.24442e-07,0
1.79,0,3.24442e-07,0
1.8,0,4.89582e-07,0
1.81,0,4.89582e-07,0
1.82,0,4.89582e-07,0
1.83,0,4.89582e-07,0
1.84,0,4.89582e-07,0
1.85,0,5.00627e-07,0
1.86,0,5.00627e-07,0
1.87,0,5.00627e-07,0
1.88,0,5.00627e-07,0
1.89,0,5.00627e-07,0
1.9,0,4.30481e-07,0
1.91,0,4.30481e-07,0
