x,p,T
1.01,101325,300
1.02,101325,300
1.03,101325,300
1.04,101325,300
1.05,101325,300
1.06,101325,300
1.07,101325,300
1.08,101325,300
1.09,101325,300
1.1,101325,300
1.11,101325,300
1.12,101325,300
1.13,101325,300
1.14,101325,300
1.15,101325,300
1.16,101325,300
1.17,101325,300
1.18,101325,300
1.19,101325,300
1.2,101325,300
1.21,101325,300
1.22,101325,300
1.23,101325,300
1.24,101325,300
1.25,101325,300
1.26,101325,300
1.27,101325,300
1.28,101325,300
1.29,101325,300
1.3,101325,300
1.31,101325,300
1.32,101325,300
1.33,101325,300
1.34,101325,300
1.35,101325,300
1.36,101325,300
1.37,101325,300
1.38,101325,300
1.39,101325,300
1.4,101325,300
1.41,101325,300
1.42,101325,300
1.43,101325,300
1.44,101325,300
1.45,101325,300
1.46,101325,300
1.47,101325,300
1.48,101325,300
1.49,101325,300
1.5,101325,300
1.51,101325,300
1.52,101325,300
1.53,101325,300
1.54,101325,300
1.55,101325,300
1.56,101325,300
1.57,101325,300
1.58,101325,300
1.59,101325,300
1.6,101325,300
1.61,101325,300
1.62,101325,300
1.63,101325,300
1.64,101325,300
1.65,101325,300
1.66,101325,300
1.67,101325,300
1.68,101325,300
1.69,101325,300
1.7,101325,300
1.71,101325,300
1.72,101325,300
1.73,101325,300
1.74,101325,300
1.75,101325,300
1.76,101325,300
1.77,101325,300
1.78,101325,300
1.79,101325,300
1.8,101325,300
1.81,101325,300
1.82,101325,300
1.83,101325,300
1.84,101325,300
1.85,101325,300
1.86,101325,300
1.87,101325,300
1.88,101325,300
1.89,101325,300
1.9,101325,300
1.91,101325,300
1.92,101325,300
1.93,101325,300
1.94,101325,300
1.95,101325,300
1.96,101325,300
1.97,101325,300
1.98,101325,300
1.99,101325,300
2,101325,300
2.01,101325,300
2.02,101325,300
2.03,101325,300
2.04,101325,300
2.05,101325,300
2.06,101325,300
2.07,101325,300
2.08,101325,300
2.09,101325,300
2.1,101325,300
2.11,101325,300
2.12,101325,300
2.13,101325,300
2.14,101325,300
2.15,101325,300
2.16,101325,300
2.17,101325,300
2.18,101325,300
2.19,101325,300
2.2,101325,300
2.21,101325,300
2.22,101325,300
2.23,101325,300
2.24,101325,300
2.25,101325,300
2.26,101325,300
2.27,101325,300
2.28,101325,300
2.29,101325,300
2.3,101325,300
2.31,101325,300
2.32,101325,300
2.33,101325,300
2.34,101325,300
2.35,101325,300
2.36,101325,300
2.37,101325,300
2.38,101325,300
2.39,101325,300
2.4,101325,300
2.41,101325,300
2.42,101325,300
2.43,101325,300
2.44,101325,300
2.45,101325,300
2.46,101325,300
2.47,101325,300
2.48,101325,300
2.49,101325,300
2.5,101325,300
2.51,101325,300
2.52,101325,300
2.53,101325,300
2.54,101325,300
2.55,101325,300
2.56,101325,300
2.57,101325,300
2.58,101325,300
2.59,101325,300
2.6,101325,300
2.61,101325,300
2.62,101325,300
2.63,101325,300
2.64,101325,300
2.65,101325,300
2.66,101325,300
2.67,101325,300
2.68,101325,300
2.69,101325,300
2.7,101325,300
2.71,101325,300
2.72,101325,300
2.73,101325,300
2.74,101325,300
2.75,101325,300
2.76,101325,300
2.77,101325,300
2.78,101325,300
2.79,101325,300
2.8,101325,300
2.81,101325,300
2.82,101325,300
2.83,101325,300
2.84,101325,300
2.85,101325,300
2.86,101325,300
2.87,101325,300
2.88,101325,300
2.89,101325,300
2.9,101325,300
2.91,101325,300
2.92,101325,300
2.93,101325,300
2.94,101325,300
2.95,101325,300
2.96,101325,300
2.97,101325,300
2.98,101325,300
2.99,101325,300
3,101325,300
3.01,101325,300
3.02,101325,300
3.03,101325,300
3.04,101325,300
3.05,101325,300
3.06,101325,300
3.07,101325,300
3.08,101325,300
3.09,101325,300
3.1,101325,300
3.11,101325,300
3.12,101325,300
3.13,101325,300
3.14,101325,300
3.15,101325,300
3.16,101325,300
3.17,101325,300
3.18,101325,300
3.19,101325,300
3.2,101325,300
3.21,101325,300
3.22,101325,300
3.23,101325,300
3.24,101325,300
3.25,101325,300
3.26,101325,300
3.27,101325,300
3.28,101325,300
3.29,101325,300
3.3,101325,300
3.31,101325,300
3.32,101325,300
3.33,101325,300
3.34,101325,300
3.35,101325,300
3.36,101325,300
3.37,101325,300
3.38,101325,300
3.39,101325,300
3.4,101325,300
3.41,101325,300
3.42,101325,300
3.43,101325,300
3.44,101325,300
3.45,101325,300
3.46,101325,300
